Order,Artist(s),Album,Type,Release Date,Cover Art,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
1,Flo Milli,"Ho, why is you here ?",album,2020-07-24,https://i.scdn.co/image/ab67616d0000b2733ae4c6b039dd0433a53631bb,66,0.18223,0.86442,0.72533,0.00022,0.14256,-4.69817,0.25922,121.30158,0.73292
2,Little Brother,May the Lord Watch,album,2019-08-20,https://i.scdn.co/image/ab67616d0000b27352bff97a1f348251c99f9245,37,0.39056,0.6504,0.62713,0.00021,0.29367,-8.0742,0.40847,111.5414,0.6614
3,JPEGMAFIA,LP!,album,2021-10-22,https://i.scdn.co/image/ab67616d0000b2736e57be9031cc8bc46fb17fee,64,0.20492,0.64022,0.80456,0.00519,0.39857,-3.48978,0.21492,127.19489,0.50128
4,Japanese Breakfast,Jubilee,album,2021-06-04,https://i.scdn.co/image/ab67616d0000b273b103a69ed742a7735a2ba7e8,65,0.0668,0.5287,0.6383,0.03234,0.16999,-7.0073,0.03264,126.1371,0.401
5,Mac Miller,Circles,album,2020-01-17,https://i.scdn.co/image/ab67616d0000b27326b7dd89810cc1a40ada642c,79,0.47043,0.74325,0.36838,0.03796,0.12586,-11.22483,0.12738,115.09933,0.34472
6,Young Thug,Barter 6,album,2015-04-16,https://i.scdn.co/image/ab67616d0000b27388053a98d0abb8ed3a02efe1,64,0.13036,0.71385,0.54954,0.0,0.17894,-6.66077,0.34723,119.73315,0.38546
7,The Weeknd,Dawn FM,album,2022-01-06,https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d,87,0.26432,0.58994,0.655,0.01245,0.23527,-7.08087,0.08169,116.01987,0.46273
8,42 Dugg,Young and Turnt,album,2019-03-15,https://i.scdn.co/image/ab67616d0000b273ccdf1eb643b4f7c57fc6fd77,57,0.11648,0.71158,0.71883,0.00104,0.18775,-5.65342,0.23803,119.24792,0.32258
9,Childish Gambino,"""Awaken, My Love!""",album,2016-12-02,https://i.scdn.co/image/ab67616d0000b273f78c98bbf2b3c9e2a764203e,18,0.30284,0.60264,0.47309,0.1401,0.18215,-10.84664,0.11067,127.01627,0.48594
10,The Front Bottoms,Talon Of The Hawk,album,2013-05-21,https://i.scdn.co/image/ab67616d0000b273a4eafa42c62543f48ddfc60c,4,0.04073,0.38783,0.89458,1e-05,0.18277,-5.76025,0.06392,143.46483,0.6435
11,underscores,fishmonger,album,2021-03-25,https://i.scdn.co/image/ab67616d0000b273dbe494d0433fb6ddd7387b81,52,0.47666,0.5687,0.5394,0.06915,0.3127,-7.3184,0.09937,129.1624,0.5152
12,Godly the Ruler,Work in Progress,single,2021-01-29,https://i.scdn.co/image/ab67616d0000b273afccd7f1d0a0369c15134d7b,3,0.3675,0.79425,0.717,4e-05,0.1985,-9.9815,0.29725,131.73375,0.8425
13,Faye Webster,I Know I'm Funny haha,album,2021-06-25,https://i.scdn.co/image/ab67616d0000b273c699d66824a938624c44c2b7,65,0.32226,0.61845,0.3103,0.15636,0.13655,-11.68736,0.03297,103.31191,0.38191
14,Cordae,From a Birds Eye View,album,2022-01-14,https://i.scdn.co/image/ab67616d0000b2731dc2c95232e77b22c32e5985,67,0.29361,0.69692,0.62362,2e-05,0.19615,-7.11915,0.35223,107.74315,0.49877
15,Earl Sweatshirt,SICK!,album,2022-01-14,https://i.scdn.co/image/ab67616d0000b27337834cc82e604d7c124bb951,59,0.21327,0.6105,0.659,3e-05,0.2951,-6.2396,0.21824,117.7407,0.3983
16,Mach-Hommy,Pray For Haiti,album,2021-05-21,https://i.scdn.co/image/ab67616d0000b273c43b3a9459cadcf6f68867cd,61,0.59719,0.49869,0.608,0.1018,0.25444,-10.51713,0.27426,107.34437,0.51947
17,Don Toliver,Heaven Or Hell (CHOPNOTSLOP REMIX),album,2020-04-17,https://i.scdn.co/image/ab67616d0000b2737978515522c548461e16cc61,47,0.35195,0.65458,0.56758,0.00033,0.33675,-7.28075,0.09962,123.78375,0.35008
18,WILLOW,lately I feel EVERYTHING,album,2021-07-16,https://i.scdn.co/image/ab67616d0000b27302b0ac4db2fd46d936e748cd,61,0.0199,0.44718,0.79764,0.01996,0.21243,-6.241,0.08208,136.43973,0.43364
19,Future,Future Hndrxx Presents: The WIZRD,album,2019-01-18,https://i.scdn.co/image/ab67616d0000b273e111437ad4fd3f50c8461ec5,68,0.08116,0.76475,0.6276,0.00268,0.21406,-5.8293,0.21663,139.50685,0.35206
20,King Cuerno,Sons of Cuerno,single,2021-12-02,https://i.scdn.co/image/ab67616d0000b273be73aea86bf3296a9e447cb9,0,0.0066,0.2724,0.6898,0.0007,0.16304,-10.0374,0.07532,123.7044,0.4438
21,Fiona Apple,Fetch The Bolt Cutters,album,2020-04-17,https://i.scdn.co/image/ab67616d0000b273841292c1316c4bf85447bcd9,62,0.47092,0.53177,0.57077,0.00333,0.17059,-8.73615,0.19904,125.94746,0.51692
22,Hozier,Hozier,album,2014-10-07,https://i.scdn.co/image/ab67616d0000b27323bde4e85a5ca2e34b78f57b,66,0.49568,0.51492,0.46777,0.02924,0.1343,-7.90992,0.03857,110.33485,0.331
23,Ecco2k,E,album,2019-11-27,https://i.scdn.co/image/ab67616d0000b273d10fd2514a37d436538a74be,0,0.53511,0.55255,0.54027,0.19926,0.12945,-8.41591,0.06912,118.07127,0.45445
24,Snail Mail,Lush,album,2018-06-08,https://i.scdn.co/image/ab67616d0000b273d6c9b06173aa0faf1edbae66,58,0.28611,0.4826,0.518,0.14997,0.1027,-7.3811,0.02977,114.2139,0.26014
25,Jazmine Sullivan,Heaux Tales,album,2021-01-08,https://i.scdn.co/image/ab67616d0000b2737955a7d9d5998317da3fbb04,61,0.47278,0.58379,0.47893,1e-05,0.24387,-8.52421,0.25987,130.02936,0.49579
26,Maggie Rogers,Heard It In A Past Life,album,2019-01-18,https://i.scdn.co/image/ab67616d0000b273d658a02ba8931985bdc4e0da,72,0.29307,0.5995,0.56617,0.00123,0.20908,-6.91958,0.07152,122.17867,0.41383
27,Saba,CARE FOR ME,album,2018-04-05,https://i.scdn.co/image/ab67616d0000b2734bb13f7847252cc829e05aa6,60,0.2918,0.6806,0.5361,0.00014,0.15887,-9.3846,0.30533,97.2393,0.44035
28,Lil Wayne,Tha Carter III,album,2008-06-10,https://i.scdn.co/image/ab67616d0000b27333ebdffaa447ff19ce9f24bb,73,0.0913,0.6805,0.57988,0.00043,0.25861,-8.25788,0.2254,125.08038,0.52738
29,Olivia Rodrigo,SOUR,album,2021-05-21,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,93,0.57455,0.51191,0.42018,0.0,0.15465,-8.86109,0.08719,141.52091,0.31663
30,Modern Baseball,You're Gonna Miss It All,album,2014-02-11,https://i.scdn.co/image/ab67616d0000b27398890ab31b06f44bcc40db75,62,0.16138,0.50058,0.70383,0.0025,0.19645,-7.21358,0.07556,129.27617,0.46908
31,Babyface Ray,FACE,album,2022-01-28,https://i.scdn.co/image/ab67616d0000b273fdc8c103efef4832fd0a5187,56,0.22954,0.6779,0.6511,0.0,0.25756,-5.2994,0.29831,129.4022,0.43515
32,A$AP Rocky,AT.LONG.LAST.A$AP,album,2015-05-26,https://i.scdn.co/image/ab67616d0000b27381a6a2cafab2e7a4066b5eec,79,0.2082,0.57606,0.5935,0.1012,0.27157,-9.78178,0.20732,120.95122,0.30479
33,Zelooperz,Van Goghs Left Ear,album,2021-07-20,https://i.scdn.co/image/ab67616d0000b273723eafa7603e125a59a43dcd,41,0.25882,0.67932,0.56895,0.00711,0.21273,-8.04747,0.2431,135.75089,0.36165
34,Jadakiss,Kiss Of Death,album,2004-01-01,https://i.scdn.co/image/ab67616d0000b273dc1887f571315429ab82bd60,54,0.06692,0.70082,0.79471,0.0,0.21348,-4.79382,0.31494,120.67582,0.63688
35,2 Chainz,Dope Don't Sell Itself,album,2022-02-04,https://i.scdn.co/image/ab67616d0000b2736dd74b9195ed9621422a3085,55,0.16822,0.76525,0.6035,1e-05,0.25713,-5.96025,0.33633,128.57817,0.547
